Gene	Annotation	Mean Probe Intensity VS5L64 	Median Probe Intensity VS5L64 	Bright Segment Length Dependent Score VS5L64 	Bright Probe Fraction VS5L64 	Mean Bright Probe Intensity VS5L64 	Median Bright Probe Intensity VS5L64 	Mean Probe Intensity VS5L111 	Median Probe Intensity VS5L111 	Bright Segment Length Dependent Score VS5L111 	Bright Probe Fraction VS5L111 	Mean Bright Probe Intensity VS5L111 	Median Bright Probe Intensity VS5L111 	 VS5L111 / VS5L64 Median	 VS5L111 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L251 	Median Probe Intensity VS5L251 	Bright Segment Length Dependent Score VS5L251 	Bright Probe Fraction VS5L251 	Mean Bright Probe Intensity VS5L251 	Median Bright Probe Intensity VS5L251 	 VS5L251 / VS5L64 Median	 VS5L251 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L477 	Median Probe Intensity VS5L477 	Bright Segment Length Dependent Score VS5L477 	Bright Probe Fraction VS5L477 	Mean Bright Probe Intensity VS5L477 	Median Bright Probe Intensity VS5L477 	 VS5L477 / VS5L64 Median	 VS5L477 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L687 	Median Probe Intensity VS5L687 	Bright Segment Length Dependent Score VS5L687 	Bright Probe Fraction VS5L687 	Mean Bright Probe Intensity VS5L687 	Median Bright Probe Intensity VS5L687 	 VS5L687 / VS5L64 Median	 VS5L687 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L833 	Median Probe Intensity VS5L833 	Bright Segment Length Dependent Score VS5L833 	Bright Probe Fraction VS5L833 	Mean Bright Probe Intensity VS5L833 	Median Bright Probe Intensity VS5L833 	 VS5L833 / VS5L64 Median	 VS5L833 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L973 	Median Probe Intensity VS5L973 	Bright Segment Length Dependent Score VS5L973 	Bright Probe Fraction VS5L973 	Mean Bright Probe Intensity VS5L973 	Median Bright Probe Intensity VS5L973 	 VS5L973 / VS5L64 Median	 VS5L973 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L1071 	Median Probe Intensity VS5L1071 	Bright Segment Length Dependent Score VS5L1071 	Bright Probe Fraction VS5L1071 	Mean Bright Probe Intensity VS5L1071 	Median Bright Probe Intensity VS5L1071 	 VS5L1071 / VS5L64 Median	 VS5L1071 / VS5L64  Median Absolute Deviation
ADC74651.1	ADC74651.1 reductive dehalogenase [Dehalococcoides sp. GT].	5517.78	4527.25	1213	0.98	5618.857143	4627.5	6193.908298	5250.728426	2500	1	6193.908298	5250.728426	0.252187165	0.462452804	17722.55265	7219.252887	2500	1	17722.55265	7219.252887	0.436327215	0.520246408	11286.03149	10388.18272	2500	1	11286.03149	10388.18272	0.771517015	0.537741506	11635.27017	9845.455258	2500	1	11635.27017	9845.455258	0.836298972	0.409844586	6437.575166	3866.374848	994	0.92	6967.59507	4061.543779	-0.106539466	0.630397166	28280.50719	16488.14549	2500	1	28280.50719	16488.14549	1.386769788	0.853085459	43322.47099	1261.056608	310	0.76	56847.42869	1956.640354	-1.35059478	0.752508575
2013897169	>2013897169 DCKB1\_107470 reductive dehalogenase 32149..33621(-) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	3294.357143	3378.5	1490	0.979591837	3356.614583	3378.75	2632.323341	2883.002879	1219	0.959183673	2724.194893	2900.011918	-0.165412138	0.454423363	3739.893671	3398.789997	1490	0.979591837	3811.539862	3430.657512	0.15492282	0.313755322	8593.787964	8643.722711	2401	1	8593.787964	8643.722711	1.076319102	0.225954787	5290.763076	3710.651643	2401	1	5290.763076	3710.651643	0.289169115	0.521238589	12160.16551	918.9044218	107	0.510204082	23304.6764	1548.618798	-1.354458077	0.507790123	5765.942425	4860.898412	2401	1	5765.942425	4860.898412	0.476493933	0.284499115	56263.86101	1326.85648	147	0.714285714	78569.94863	6979.911702	-0.890765629	1.292973722
ACZ62439.1	ACZ62439.1 reductive dehalogenase [Dehalococcoides sp. VS].	3632.354167	3079	1249	0.979166667	3693.904255	3111	702.1216179	207.0186123	11	0.104166667	4536.939273	1479.792559	-2.582423618	0.424411725	323.3321343	139.2972993	2	0.041666667	3680.426525	3680.426525	-3.048132211	0.419910645	222.8611079	97.69721357	1	0.020833333	5000.636043	5000.636043	-3.439110508	0.42414197	187.2485817	99.15932997	1	0.020833333	3400.523346	3400.523346	-3.435599124	0.581005542	1977.497607	177.2634768	20	0.208333333	8621.015209	1289.164358	-2.712359165	0.955318297	255.519411	128.8608796	1	0.020833333	4770.330221	4770.330221	-3.159156902	0.460459321	24787.21799	1138.030413	171	0.645833333	38082.89962	4643.369285	-1.239970265	0.753789292
ADC74693.1	ADC74693.1 reductive dehalogenase [Dehalococcoides sp. GT].	3314.734043	2206	1706	0.978723404	3371.923913	2225.25	7156.826382	5644.044358	1025	0.957446809	7448.981595	6018.014493	0.612827175	0.64520091	7431.422648	6312.597696	2209	1	7431.422648	6312.597696	0.776318735	0.343422836	10786.0146	10265.96715	2209	1	10786.0146	10265.96715	1.389685284	0.365694885	10221.33656	9866.975868	2209	1	10221.33656	9866.975868	1.32161491	0.405844716	11458.10506	9426.743254	567	0.914893617	12476.56695	11623.35135	1.122670187	0.575867379	7793.779311	6686.91181	2209	1	7793.779311	6686.91181	1.016826383	0.333171463	31341.29747	1164.699003	86	0.595744681	52271.49317	7982.272635	-0.961989706	1.093113488
BAI70451.1	BAI70451.1 reductive dehalogenase [uncultured bacterium].	11844.62766	8928	1130	0.978723404	12091.80435	9249.75	11016.79661	6898.483251	1130	0.978723404	11249.11792	6918.003093	0.009712367	0.498569161	12392.17818	7798.301045	1130	0.978723404	12648.22484	7963.279347	0.07761464	0.489829477	17033.54093	11141.8593	2209	1	17033.54093	11141.8593	0.433696702	0.398187879	18516.54883	11559.06256	1130	0.978723404	18905.57169	12363.3399	0.442808471	0.373831769	13903.79516	9424.248293	1097	0.957446809	14503.95681	9695.491227	0.145813305	0.997271683	15995.56926	10908.02841	1130	0.978723404	16332.39969	11011.92695	0.302335652	0.366578307	66057.46372	3013.219985	544	0.893617021	73849.77217	3462.424177	-1.320730945	0.815851381
AAW39605.1	"AAW39605.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	4579.5	3194.5	2405	0.962264151	4736.617647	3237	14799.6752	14193.28519	2809	1	14799.6752	14193.28519	1.408763786	0.504821931	21783.1267	19755.71351	2809	1	21783.1267	19755.71351	1.694969671	0.578868968	19173.35774	18273.74941	2809	1	19173.35774	18273.74941	1.524102956	0.639371747	18521.8744	17631.92781	2809	1	18521.8744	17631.92781	1.512674729	0.597038528	22251.80536	20930.05706	2809	1	22251.80536	20930.05706	1.820683343	0.411099402	14770.27617	13211.45125	2809	1	14770.27617	13211.45125	1.21654819	0.460310738	31120.307	1295.639584	178	0.679245283	45606.84516	2889.544449	-1.202953731	0.897367081
ACZ62459.1	ACZ62459.1 reductive dehalogenase [Dehalococcoides sp. VS].	4850.622642	3207.5	1361	0.962264151	5021.960784	3369	9863.94352	6846.397175	2212	0.943396226	10431.69361	6931.047122	0.538009786	0.556753329	13436.11191	9187.997839	1070	0.943396226	14214.9286	9998.962494	0.909810986	0.610109258	11995.71729	8467.499683	2410	0.981132075	12224.51855	8609.330408	0.825804806	0.522320878	11826.47956	7968.560904	2410	0.981132075	12052.3511	8013.802394	0.838434881	0.402647159	14026.90498	10458.69172	1158	0.905660377	15447.9605	10671.98585	0.951887928	0.695132416	10668.38434	6750.40391	2410	0.981132075	10871.58753	6878.383251	0.697245197	0.417447937	69772.88543	1424.165818	175	0.660377358	105447.1845	3719.850273	-1.14226998	0.959549412
AAQ94119.1	AAQ94119.1 vinyl chloride reductase precursor [bacterium VS].	2199.644231	1743.5	2308	0.961538462	2270.79	1760	3313.342256	2276.014153	2308	0.961538462	3427.010958	2284.756888	0.187798477	0.180439919	11276.05448	11602.99157	2704	1	11276.05448	11602.99157	1.866873296	0.392486353	20573.69823	20958.63969	2704	1	20573.69823	20958.63969	2.539564325	0.402448123	18184.79292	18544.67328	2704	1	18184.79292	18544.67328	2.401898944	0.506238564	1780.368137	363.4042448	44	0.307692308	5073.202742	1427.949113	-1.525898608	0.526068465	16231.26304	16459.36682	2704	1	16231.26304	16459.36682	2.295020843	0.38700202	9896.248433	626.9132148	57	0.442307692	21869.89388	3788.215157	-1.143206912	0.900887545
ACZ62535.1	ACZ62535.1 reductive dehalogenase [Dehalococcoides sp. VS].	7685.913462	5122	1074	0.961538462	7967.1	5421	9170.745018	5621.661936	1004	0.961538462	9521.990415	5777.772027	0.186602454	0.448418116	9650.008176	6178.080558	1241	0.942307692	10213.24533	6512.277529	0.286445415	0.640619221	10979.07473	7291.914047	1242	0.961538462	11403.83134	7764.517123	0.469977781	0.468826261	11589.43484	8237.796297	1242	0.961538462	12042.47198	8656.159036	0.490712608	0.461325973	15517.78734	7200.65264	883	0.903846154	17120.40626	9816.580481	0.649485468	0.822728095	9431.692015	7103.949716	1242	0.961538462	9794.846616	7272.897572	0.267966119	0.31590611	57879.46944	3111.319466	350	0.807692308	71531.17929	4696.117453	-1.064752085	1.004895327
ADC74548.1	ADC74548.1 reductive dehalogenase [Dehalococcoides sp. GT].	10962.58163	7064	1701	0.959183673	11406.25532	7479	5920.21431	2880.809116	838	0.897959184	6537.118348	3134.968729	-0.838995161	0.580185889	5563.581217	2579.75896	371	0.795918367	6915.949265	4335.2855	-0.971236206	0.51540487	7854.30247	5300.205317	390	0.816326531	9563.223721	6556.554715	-0.452533432	0.611732822	8739.659103	4653.51594	390	0.816326531	10650.77415	6893.038	-0.460232481	0.681095039	7735.125549	2001.947603	502	0.775510204	9901.632352	2923.770647	-1.182229106	0.900266469	9568.097615	5379.69928	501	0.836734694	11381.58004	7413.152105	-0.349547117	0.672403247	33819.19805	4564.514344	543	0.87755102	38490.43509	6006.784262	-1.03480318	1.12586112
ACZ62364.1	ACZ62364.1 reductive dehalogenase [Dehalococcoides sp. VS].	3849.183673	2192	1485	0.959183673	3983.180851	2284	3751.07675	486.3238409	24	0.285714286	12053.64876	1911.626143	-1.264855119	0.726398351	4768.700445	164.3531335	11	0.142857143	32022.05685	3876.592899	-2.193538834	0.98986788	3701.409198	126.7222705	12	0.163265306	21853.27235	2849.517002	-2.319473775	1.082125673	2334.540927	132.4365875	11	0.142857143	15212.81154	2916.622303	-2.300048154	1.156364428	4255.852757	361.7529822	24	0.285714286	14272.71637	2855.590417	-2.047570197	1.120572125	3383.265162	160.7190692	8	0.12244898	25999.47323	4814.407995	-2.227158987	0.927537063	65966.77842	1153.096591	175	0.673469388	97743.08682	5128.71932	-0.456727519	1.717365659
ACZ61272.1	ACZ61272.1 reductive dehalogenase [Dehalococcoides sp. VS].	2423.882979	1772	1041	0.957446809	2502.544444	1852.5	304.8539229	203.0811546	2	0.042553191	1367.593578	1367.593578	-1.981494211	0.534891576	310.6379011	141.7451434	2	0.042553191	3337.493	3337.493	-2.247191056	0.563376178	161.4479254	113.7855641	1	0.021276596	958.7741356	958.7741356	-2.529714483	0.650670728	175.3495493	111.629584	1	0.021276596	1362.110868	1362.110868	-2.682435818	0.919784311	359.1943043	117.1642104	6	0.127659574	1619.966039	1112.68138	-2.775135706	0.716166502	173.8304112	144.7926262	1	0.021276596	834.6782001	834.6782001	-2.380604738	0.677277524	29648.09149	751.7618213	75	0.489361702	60087.10898	5877.597362	-1.005310597	1.082645727
ACZ62486.1	ACZ62486.1 reductive dehalogenase [Dehalococcoides sp. VS].	1941.520408	1878	1020	0.93877551	2028.478261	1945.75	1053.236116	616.0039388	47	0.387755102	2045.270129	1621.783115	-0.9155701	0.726216177	1445.489034	305.5965525	29	0.265306122	4688.275447	2817.993067	-1.486968739	1.019994633	1124.029687	255.81192	35	0.306122449	3161.02943	2154.871593	-1.768130203	1.171652989	1093.212486	252.7343803	30	0.285714286	3274.853311	2036.745896	-1.755563522	1.045498608	2148.152896	719.4854144	97	0.469387755	4227.720685	2999.60004	-0.921866002	1.669907483	910.9518553	273.9190127	28	0.244897959	2868.670271	2109.548702	-1.645808901	0.799495698	17003.29	571.9523519	45	0.428571429	39155.87561	10339.96773	-1.099221319	0.921646283
ACZ61277.1	ACZ61277.1 reductive dehalogenase [Dehalococcoides sp. VS].	2183.173077	1418.75	662	0.923076923	2316.489583	1610	1476.073505	361.7030796	37	0.288461538	4297.1413	2689.077028	-1.176269861	0.581899158	2317.933539	259.4392475	49	0.365384615	5926.929844	3388.895527	-1.373250274	1.038136927	1517.484424	245.9480977	46	0.346153846	3993.205241	2858.898132	-1.427140523	1.090383843	1211.15868	215.4504421	37	0.288461538	3704.198448	3878.718232	-1.658489867	0.914963218	3525.045828	145.8125387	20	0.230769231	14592.4061	2643.871415	-2.06081725	0.778819397	1506.362629	274.6947565	47	0.365384615	3720.220293	2977.561673	-1.366396921	1.027797079	17067.68581	714.9632914	67	0.480769231	35126.16586	9482.617084	-0.911031176	1.292367614
ACZ62463.1	ACZ62463.1 reductive dehalogenase [Dehalococcoides sp. VS].	2457.617647	1939.5	1551	0.921568627	2615.744681	2083.5	627.9354121	354.9363932	18	0.196078431	1777.55178	1224.393394	-1.567317205	0.878418509	709.0076095	175.9130965	12	0.156862745	3415.18588	1883.408651	-2.177331521	0.933050339	352.8763242	125.3672543	11	0.137254902	1583.088065	1172.020852	-2.536776715	0.997159605	346.512008	130.8121874	13	0.137254902	1508.124111	1258.650207	-2.56872637	1.062327632	775.2524616	200.3964941	21	0.254901961	2433.580457	2505.143184	-2.166529349	1.09755297	443.0268685	165.7342847	15	0.176470588	1651.646043	1675.489329	-2.30394867	0.98316272	24996.07233	734.1730872	75	0.490196078	50517.84927	6505.413639	-0.881241712	1.109022703
ACZ62419.1	ACZ62419.1 reductive dehalogenase [Dehalococcoides sp. VS].	2489.519608	1965	1041	0.921568627	2656.117021	2023.5	2842.618593	2293.954188	1149	0.960784314	2942.256853	2295.777896	0.132697413	0.312458148	7597.64312	7235.181272	2601	1	7597.64312	7235.181272	1.255427615	0.477100644	8693.699019	8406.637125	2601	1	8693.699019	8406.637125	1.391660378	0.546437502	9157.046208	8884.032125	2601	1	9157.046208	8884.032125	1.467127921	0.516445165	1150.569466	531.3057196	38	0.274509804	3141.405317	1786.340861	-1.363501611	0.554937802	10820.36686	10220.85956	2601	1	10820.36686	10220.85956	1.580413422	0.452475564	25669.32534	833.0946812	107	0.568627451	44857.80887	4953.560057	-0.73230397	1.439108925
ABQ16712.1	ABQ16712.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	2199.95098	1701	923	0.921568627	2335.691489	1867	2301.420824	1605.165419	1019	0.921568627	2450.877529	1661.079978	-0.005206199	0.468803364	4175.538159	3761.749012	2601	1	4175.538159	3761.749012	0.732480202	0.7313755	10141.2638	9184.965579	2601	1	10141.2638	9184.965579	1.660483128	1.014359504	11103.61789	10361.90822	2601	1	11103.61789	10361.90822	1.840545939	0.905738385	2116.729391	665.4061114	69	0.450980392	4129.799865	1899.208355	-0.905387753	0.642926173	8282.665916	7757.546124	2601	1	8282.665916	7757.546124	1.43312163	0.752489292	26560.73507	705.0686987	62	0.470588235	56010.55944	4862.745144	-0.919346455	1.167841059
ACZ62470.1	ACZ62470.1 reductive dehalogenase [Dehalococcoides sp. VS].	1884.66	1441.5	1086	0.92	1998.25	1566	825.7677359	509.3236663	18	0.24	2061.791623	1428.084297	-1.025750234	0.29118828	852.0354239	205.2053282	7	0.14	4585.458094	3864.324445	-1.799832542	0.562991155	498.8486366	173.7585282	15	0.18	1920.206956	1247.780019	-1.945141053	0.647494299	484.0725583	159.3831668	9	0.14	2174.530169	1479.878824	-1.979746653	0.520435897	1004.456106	327.6029801	56	0.36	2423.551202	1402.598014	-1.738445743	1.149682101	717.8328582	188.9775547	10	0.16	3227.476646	2654.095939	-1.782564944	0.52954062	23443.64385	769.5426246	60	0.52	44708.54872	27046.09665	-0.673273733	1.572673189
ADC74655.1	ADC74655.1 reductive dehalogenase [Dehalococcoides sp. GT].	1812.44	1614.5	864	0.92	1920.782609	1631.75	2255.857292	1885.580143	2304	0.96	2332.189683	1966.174871	0.234019897	0.469643352	6658.925915	6748.949829	2500	1	6658.925915	6748.949829	1.622959632	0.428566275	10490.82796	10855.23352	2500	1	10490.82796	10855.23352	2.062620055	0.475134534	10236.54489	10371.37838	2500	1	10236.54489	10371.37838	2.054104928	0.397371673	7702.337407	1781.461078	1139	0.82	9290.500047	2555.154702	0.209970692	0.805839805	9674.026055	9972.413325	2500	1	9674.026055	9972.413325	1.931438907	0.399157944	16408.96134	899.717265	106	0.56	28991.78231	7958.510947	-0.696826592	1.359497019
2013897488	>2013897488 DCKB1\_110630 reductive dehalogenase 123920..125434(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	2299.52	2074	1041	0.9	2519.666667	2315	14272.93921	14814.84408	1093	0.9	15820.49538	15822.6408	1.861319511	0.291110143	28011.84864	29857.84672	1093	0.9	31088.42653	31200.25481	2.538585394	0.393284545	24502.33682	27558.3395	1620	0.92	26615.23788	28254.50616	2.335935318	0.534431528	24535.2801	26416.14572	1620	0.92	26651.63544	27458.08235	2.398402529	0.509552512	19174.59126	19547.70832	1093	0.9	21272.72948	20685.81919	2.17447395	0.263450302	14752.35194	15383.74928	1620	0.92	16018.60878	16248.54912	1.893169248	0.381991551	19855.44117	791.8341148	109	0.54	36368.99412	5405.086675	-0.921667883	1.169957001
ACZ62477.1	ACZ62477.1 reductive dehalogenase [Dehalococcoides sp. VS].	2347.87	1784.5	985	0.9	2543.811111	1920.5	1111.069506	641.4244567	47	0.42	2153.214449	1191.031097	-1.045264324	0.883529063	2111.573155	482.0359179	51	0.42	4625.346221	1971.139075	-1.231779312	1.435932127	1101.806401	257.5500211	31	0.26	3539.303935	2888.665243	-1.793446811	1.042030082	1019.920706	250.8163338	31	0.26	3247.311145	2982.538294	-1.8953058	1.095481527	2214.211776	592.9179804	45	0.38	5338.867408	2162.241505	-1.282581696	1.58439454	2374.267057	343.4499125	46	0.4	5566.517389	3191.016355	-1.500383974	1.412944915	17748.31293	1042.348249	161	0.62	28397.96505	6201.989904	-0.441842383	1.713310174
ABB89703.1	ABB89703.1 trichloroethene reductive dehalogenase [Dehalococcoides sp. FMC-TCE].	5406.918182	2231	921	0.890909091	6017.234694	2372	9755.876511	8294.134285	1908	0.981818182	9925.239541	8295.102902	1.279024858	0.536130248	19932.59266	17738.6458	3025	1	19932.59266	17738.6458	2.152342794	0.648358183	17645.83839	16037.49943	3025	1	17645.83839	16037.49943	2.083784517	0.789693295	18057.02683	17023.69198	3025	1	18057.02683	17023.69198	2.1008685	0.732210747	13253.68416	11401.93139	3025	1	13253.68416	11401.93139	1.706713104	0.245697371	9899.99788	9219.887117	3025	1	9899.99788	9219.887117	1.549499284	0.565892593	32665.39809	1304.774265	164	0.618181818	52590.51097	3924.908517	-0.958039457	1.17778131
ADR80137.1	ADR80137.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	2423.722222	2780.75	160	0.888888889	2692.0625	2836	5138.413641	5180.640265	160	0.888888889	5751.018783	5411.156472	0.604849887	0.534021315	5034.03441	5037.074492	185	0.944444444	5320.778608	5652.962568	0.627353143	0.259054933	7955.486018	7848.476338	185	0.944444444	8408.26989	7862.31657	1.138813569	0.292928857	7460.461746	8098.341973	185	0.944444444	7888.422954	9198.687133	1.07139851	0.232948257	9096.401553	7710.792936	160	0.888888889	10182.62109	9369.008276	1.08060146	0.659957	5776.736255	5861.36111	185	0.944444444	6105.957568	5898.455054	0.828092881	0.365754558	48642.76637	964.4039595	27	0.611111111	79341.91453	3317.89787	-1.020888815	1.077435968
ADR00316.1	ADR00316.1 TceA protein [Dehalococcoides sp. enrichment culture SL2 clone SL2-DCE-G1].	3297.583333	1753.75	299	0.875	3684.547619	1968	8974.155303	8071.166556	576	1	8974.155303	8071.166556	1.440183172	0.303906276	17916.62061	18111.33184	576	1	17916.62061	18111.33184	2.257941033	0.490133383	16422.03613	17031.73947	576	1	16422.03613	17031.73947	2.179404873	0.65222071	16080.06572	17127.74086	576	1	16080.06572	17127.74086	2.124172478	0.65185236	11819.20168	10822.92245	576	1	11819.20168	10822.92245	1.708955149	0.283213955	9105.928956	9287.977374	576	1	9105.928956	9287.977374	1.541653118	0.47981227	43193.34105	678.1389049	30	0.416666667	103015.3936	4269.030319	-1.197483349	0.719689482
AAW39240.1	"AAW39240.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	7987.622449	4306	794	0.857142857	9241	4754	8704.055138	7134.344694	1440	0.979591837	8872.873315	7186.977049	0.411944708	0.524383339	8406.034252	5682.708396	1154	0.93877551	8919.433359	6608.743604	0.356897103	0.534359858	7681.239168	5751.590827	309	0.795918367	9550.267206	6837.17629	0.15140477	0.712771173	7845.303685	6690.171092	292	0.775510204	10027.78909	7938.304448	0.267825119	0.904001892	12035.51511	9323.480852	689	0.795918367	15033.55586	11605.97064	0.202266558	1.047851619	7024.501314	5080.739258	499	0.795918367	8747.558721	5691.182187	0.182561785	0.787421912	62328.62772	2930.147294	353	0.795918367	78196.67977	3978.023928	-0.771687519	1.549175554
AAF73916.1	AAF73916.1 trichloroethene reductive dehalogenase [Dehalococcoides ethenogenes].	3921.081818	2007	737	0.818181818	4735.622222	2202	7609.280439	6303.953249	861	0.890909091	8507.211545	7644.393032	1.231304993	0.598677492	14970.02088	15548.88967	974	0.945454545	15825.13595	15952.80399	2.181147547	0.696811571	13756.98896	15632.00846	974	0.945454545	14543.64308	15730.43693	2.081525137	0.693218653	14134.07285	15089.52388	974	0.945454545	14942.76149	15431.49312	2.112472777	0.628117781	10011.26865	10524.90201	894	0.909090909	10981.31491	11018.90626	1.587910815	0.412499958	7198.952509	8023.545585	939	0.927272727	7747.299023	8298.547258	1.449639415	0.557456137	25675.7863	1884.301485	183	0.563636364	45305.50926	15147.25366	-0.543353729	1.560984051
ACZ62413.1	ACZ62413.1 reductive dehalogenase [Dehalococcoides sp. VS].	1547.729167	1207.5	364	0.791666667	1827.75	1547	4035.450961	2962.092152	424	0.833333333	4783.33195	3213.91685	0.922588171	0.418622758	9014.010139	7426.078309	678	0.916666667	9812.594261	9077.081065	1.774562972	0.394721272	8201.323758	7546.484918	607	0.895833333	9114.958764	9385.951944	1.648589119	0.50323454	7738.240069	6883.237099	451	0.854166667	8999.631367	7390.526581	1.594950784	0.406540087	5574.232386	4254.646819	501	0.854166667	6469.538006	4798.376714	1.235518353	0.412463628	4938.059492	4359.972465	451	0.854166667	5725.064121	5181.657152	1.162679767	0.451647325	14580.015	509.7748023	45	0.4375	32983.52929	9639.672305	-1.131405506	0.992256472
BAJ06127.1	BAJ06127.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	6458.045455	1912.75	149	0.772727273	8255.117647	2005.5	6240.000745	5574.384989	208	0.909090909	6834.30888	5812.661566	0.997770691	0.616312375	13492.11544	14748.30886	225	0.954545455	14099.76761	14924.50136	2.288975216	0.669141934	12402.6202	12220.78987	225	0.954545455	12960.37853	12621.65953	2.189578559	0.690238016	12766.66499	12607.6877	484	1	12766.66499	12607.6877	2.242031708	0.886028072	9152.668265	7962.887347	225	0.954545455	9569.855993	7972.526562	1.480821429	0.3571027	6113.695529	6423.128926	225	0.954545455	6386.494416	6428.240902	1.551524423	0.516341404	60360.47033	3594.745908	66	0.636363636	94666.39495	14800.43515	-0.290083676	2.078723123
BAF34982.1	BAF34982.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	4397.731481	1875.5	338	0.740740741	5810.4875	2382.25	7575.843518	6567.01612	875	0.907407407	8333.586614	7071.524843	1.17303614	0.710707063	14980.93983	14899.32071	939	0.944444444	15858.74678	15637.80378	2.197648829	0.624653949	13534.75124	13374.08121	939	0.944444444	14326.95925	13702.43669	2.119668547	0.766614465	13390.64918	14319.76773	939	0.944444444	14174.93985	15948.84177	2.071303063	0.74501075	10736.85239	9661.727032	875	0.907407407	11808.7941	10091.31711	1.557279916	0.468020081	7239.77708	7093.013985	906	0.925925926	7806.949627	7704.508493	1.503172813	0.436213031	25551.54081	1979.556676	205	0.574074074	44352.31017	18556.1223	-1.274351483	0.940559141
AAW39843.1	"AAW39843.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	1738.588235	890	137	0.568627451	2731.431034	1486	3215.503625	2644.371807	646	0.784313725	3960.205163	3015.228652	1.012295368	0.498607376	101791.1757	113245.5998	1258	0.980392157	103825.8783	113822.2345	4.695692655	0.348386556	68257.79009	78193.21165	1258	0.980392157	69621.73377	78423.89482	4.362607198	0.318521168	93143.69845	105445.7136	1258	0.980392157	95005.35185	105445.7136	4.659340432	0.558988339	5061.655564	4607.1266	903	0.921568627	5462.417193	4901.588389	1.475032798	0.483895251	129874.188	146940.1632	1258	0.980392157	132470.0095	147672.5839	5.056277709	0.576933963	26322.0534	810.2107322	76	0.509803922	51429.35749	9740.684972	-0.342995098	2.157694024
ABQ16710.1	ABQ16710.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	654.125	587	37	0.3125	1101.8	974	674.0747194	600.3916866	37	0.3125	1276.095159	1188.798521	-0.059040482	0.202077411	4764.817063	4628.003343	1865	0.979166667	4853.202643	4690.044164	1.992727883	0.286335317	13461.21901	14322.60853	2304	1	13461.21901	14322.60853	3.121119425	0.248615109	13763.58441	15233.79366	2304	1	13763.58441	15233.79366	3.098337933	0.205714697	726.7318871	242.4118483	20	0.166666667	3332.434694	1887.118463	-1.215481893	0.523140758	8683.915694	9203.464104	2304	1	8683.915694	9203.464104	2.661332751	0.204174689	10926.12308	206.8467478	21	0.3125	34574.56517	16912.12254	-1.08215046	1.044665834
