Gene	Annotation	Mean Probe Intensity VS2L242 	Median Probe Intensity VS2L242 	Bright Segment Length Dependent Score VS2L242 	Bright Probe Fraction VS2L242 	Mean Bright Probe Intensity VS2L242 	Median Bright Probe Intensity VS2L242 	Mean Probe Intensity VS2L295 	Median Probe Intensity VS2L295 	Bright Segment Length Dependent Score VS2L295 	Bright Probe Fraction VS2L295 	Mean Bright Probe Intensity VS2L295 	Median Bright Probe Intensity VS2L295 	 VS2L295 / VS2L242 Median	 VS2L295 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L605 	Median Probe Intensity VS2L605 	Bright Segment Length Dependent Score VS2L605 	Bright Probe Fraction VS2L605 	Mean Bright Probe Intensity VS2L605 	Median Bright Probe Intensity VS2L605 	 VS2L605 / VS2L242 Median	 VS2L605 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L675 	Median Probe Intensity VS2L675 	Bright Segment Length Dependent Score VS2L675 	Bright Probe Fraction VS2L675 	Mean Bright Probe Intensity VS2L675 	Median Bright Probe Intensity VS2L675 	 VS2L675 / VS2L242 Median	 VS2L675 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L925 	Median Probe Intensity VS2L925 	Bright Segment Length Dependent Score VS2L925 	Bright Probe Fraction VS2L925 	Mean Bright Probe Intensity VS2L925 	Median Bright Probe Intensity VS2L925 	 VS2L925 / VS2L242 Median	 VS2L925 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L1041 	Median Probe Intensity VS2L1041 	Bright Segment Length Dependent Score VS2L1041 	Bright Probe Fraction VS2L1041 	Mean Bright Probe Intensity VS2L1041 	Median Bright Probe Intensity VS2L1041 	 VS2L1041 / VS2L242 Median	 VS2L1041 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L1425 	Median Probe Intensity VS2L1425 	Bright Segment Length Dependent Score VS2L1425 	Bright Probe Fraction VS2L1425 	Mean Bright Probe Intensity VS2L1425 	Median Bright Probe Intensity VS2L1425 	 VS2L1425 / VS2L242 Median	 VS2L1425 / VS2L242  Median Absolute Deviation
ABB89703.1	ABB89703.1 trichloroethene reductive dehalogenase [Dehalococcoides sp. FMC-TCE].	4637	3881	3025	1	4637	3881	5582.679403	4992.066622	3025	1	5582.679403	4992.066622	0.231479332	0.133692493	6111.633737	5908.263097	3025	1	6111.633737	5908.263097	0.214269585	0.183449034	4860.515999	4774.862398	3025	1	4860.515999	4774.862398	0.012151775	0.210870191	3261.617822	2648.123781	1908	0.981818182	3314.259677	2726.305832	-0.449587478	0.210553898	3625.434284	2798.741946	3025	1	3625.434284	2798.741946	-0.326262701	0.174709711	4152.18119	3233.245123	3025	1	4152.18119	3233.245123	-0.269754745	0.219711564
ABA64547.1	ABA64547.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	754.1326531	583	317	0.755102041	899.1486486	684	901.3693568	585.2845339	259	0.714285714	1126.593858	672.0189592	-0.014549555	0.12565108	1440.406182	994.0522857	899	0.959183673	1485.453984	999.0662067	0.547166583	0.261499565	2425.905074	1922.964326	2401	1	2425.905074	1922.964326	1.233298383	0.306107152	1258.192112	909.2060227	619	0.87755102	1384.382705	1078.063207	0.43293927	0.208358906	721.2181421	328.5664908	78	0.408163265	1436.053394	850.7484077	-0.589058698	0.338299406	1779.745539	521.083587	247	0.632653061	2636.416844	730.2039571	-0.112360987	0.335079601
ABA64539.1	ABA64539.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	981.8020833	664.5	575	0.770833333	1200.851351	752	1087.605131	772.7356158	450	0.833333333	1250.757156	858.0153741	0.118100011	0.283065446	3046.10276	1155.530145	727	0.895833333	3373.355237	1298.727718	0.660161607	0.509486071	4339.072019	2059.60205	1076	0.958333333	4523.902176	2110.737663	1.273986255	0.515560137	1853.375231	1003.91012	667	0.854166667	2128.758997	1106.804123	0.521445721	0.351670303	1094.508308	430.0110408	154	0.5	1927.352387	769.4144106	-0.316784165	0.464819635	11591.30653	1213.45534	722	0.875	13218.98752	1829.507892	0.639208203	0.910837397
AAW40589.1	"AAW40589.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	7609.382353	7425	865	0.960784314	7915.755102	7674	10975.03768	9889.33616	2601	1	10975.03768	9889.33616	0.339546441	0.115658467	11478.40456	10891.89859	2601	1	11478.40456	10891.89859	0.395706672	0.155403758	11664.00053	10256.64447	2601	1	11664.00053	10256.64447	0.414386908	0.19395912	9111.283006	8465.410494	2601	1	9111.283006	8465.410494	0.155258472	0.120499208	9706.728623	9309.514328	2601	1	9706.728623	9309.514328	0.20892376	0.134567569	9341.985306	9095.785571	2601	1	9341.985306	9095.785571	0.18269233	0.173153367
AAW40575.1	"AAW40575.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	5385	5390	1546	0.977777778	5504.931818	5405.5	8088.318589	7879.616072	2025	1	8088.318589	7879.616072	0.420403163	0.124651057	9133.175521	9047.6765	2025	1	9133.175521	9047.6765	0.506889768	0.127095866	8588.439383	8345.59426	2025	1	8588.439383	8345.59426	0.457202729	0.117314261	6745.270456	6350.667327	2025	1	6745.270456	6350.667327	0.173321746	0.105746747	7389.659382	6793.056581	2025	1	7389.659382	6793.056581	0.28845413	0.096938042	10369.8611	6080.772514	2025	1	10369.8611	6080.772514	0.129319343	0.168228811
AAW39843.1	"AAW39843.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	14589.5	14133.5	1258	0.980392157	14879.69	14277	7427.766146	6636.592293	1258	0.980392157	7574.80666	6649.27413	-0.772237675	0.211786525	12423.86612	11767.27874	1258	0.980392157	12671.39406	12004.30386	-0.16950519	0.188399501	10584.91752	9852.052568	1258	0.980392157	10795.75001	9868.866301	-0.352040027	0.158499106	2592.123231	2150.287379	950	0.941176471	2738.883307	2428.871665	-1.742972964	0.192652615	4194.033745	4006.909235	1258	0.980392157	4276.518658	4098.305565	-1.266239152	0.152661701	6820.641329	4303.646382	971	0.960784314	7091.034362	4348.594426	-1.219009429	0.215932191
AAW39605.1	"AAW39605.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	6400.084906	5771	2809	1	6400.084906	5771	8327.780287	7778.640556	2809	1	8327.780287	7778.640556	0.265425497	0.138472465	8919.659496	8227.651844	2809	1	8919.659496	8227.651844	0.354390369	0.123047225	8964.405918	8069.508746	2809	1	8964.405918	8069.508746	0.351737512	0.153192495	7136.16999	6198.101569	2809	1	7136.16999	6198.101569	0.036715957	0.111153829	7285.701595	6115.242839	2809	1	7285.701595	6115.242839	0.059776319	0.108167827	8188.882206	5863.591787	2809	1	8188.882206	5863.591787	0.065696696	0.156073688
AAW39240.1	"AAW39240.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	2469.72449	2380.5	432	0.897959184	2718.238636	2633.75	3118.387889	3208.881953	846	0.93877551	3296.975866	3351.319863	0.113164888	0.131101174	5303.319071	3716.012008	846	0.93877551	5628.345918	4026.117998	0.282249854	0.221673146	5362.770524	4047.483886	1417	0.959183673	5573.60617	4108.458167	0.41218672	0.227717116	2336.518786	1877.063226	751	0.87755102	2614.354117	2212.766967	-0.172025033	0.202744694	3106.138777	2732.993076	2209	0.959183673	3225.617521	2923.099236	0.322674715	0.695590049	5945.195119	2663.528766	2401	1	5945.195119	2663.528766	0.522073818	0.811745271
AAW39229.1	"AAW39229.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	7631.693878	7255	1874	0.979591837	7789	7289.5	9502.4622	8218.97756	2401	1	9502.4622	8218.97756	0.170394525	0.102204608	10264.52335	9271.428044	2401	1	10264.52335	9271.428044	0.236559972	0.202928558	9549.648522	9059.993129	2401	1	9549.648522	9059.993129	0.211126974	0.177915095	7921.236091	7281.380941	2401	1	7921.236091	7281.380941	-0.009578692	0.130055826	8103.644728	7476.531718	2401	1	8103.644728	7476.531718	0.010366014	0.152703484	8501.512474	7853.841964	2401	1	8501.512474	7853.841964	0.039575741	0.167841347
AAW39214.1	"AAW39214.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	9193.85	7423.5	2500	1	9193.85	7423.5	9732.241006	8170.398227	2500	1	9732.241006	8170.398227	0.120472727	0.130611097	14535.5906	9906.802127	2500	1	14535.5906	9906.802127	0.390816015	0.221465976	12321.57011	10480.16934	2500	1	12321.57011	10480.16934	0.305214743	0.1793588	7651.814	6485.062136	2500	1	7651.814	6485.062136	-0.124473776	0.181819803	10271.67296	7201.569989	2500	1	10271.67296	7201.569989	0.00670488	0.156625011	10435.637	7632.00664	2500	1	10435.637	7632.00664	0.037584187	0.160303613
AAT48556.1	AAT48556.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	9141.333333	9009.5	2304	1	9141.333333	9009.5	11339.86008	10436.44737	2304	1	11339.86008	10436.44737	0.178153622	0.133597388	11984.01756	11029.56714	2304	1	11984.01756	11029.56714	0.230429937	0.164052704	12603.14953	11676.22592	2304	1	12603.14953	11676.22592	0.305333616	0.128775052	8348.327091	7007.944014	2304	1	8348.327091	7007.944014	-0.273402893	0.139854774	4415.738079	4081.032103	2304	1	4415.738079	4081.032103	-0.852214289	0.181892864	5559.903098	4605.996188	2304	1	5559.903098	4605.996188	-0.685005404	0.275415351
AAT48554.1	AAT48554.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	762.7340426	662	625	0.829787234	858.3461538	748.5	699.9270665	652.7860549	330	0.765957447	824.5793252	770.3727347	-0.111928565	0.096358466	7903.659022	6935.189292	689	0.957446809	8251.819581	7092.402645	2.402858213	0.534219243	15315.69728	13017.32946	689	0.957446809	15992.69413	13608.28617	3.047168521	0.588949009	3948.814496	2973.661192	513	0.914893617	4294.368366	3259.266631	1.511067648	0.502700363	1774.596434	1539.422922	376	0.85106383	2042.220892	1931.036029	0.82022478	0.401055576	3882.207022	3279.303414	513	0.914893617	4222.023572	3667.79783	1.58885514	0.560078356
AAT48548.1	AAT48548.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	9744.956522	9299	2116	1	9744.956522	9299	13552.827	11663.52873	2116	1	13552.827	11663.52873	0.332374951	0.150445062	12588.66254	11711.52296	2116	1	12588.66254	11711.52296	0.241369875	0.153332518	12072.88364	10944.39215	2116	1	12072.88364	10944.39215	0.22444147	0.148736102	8130.605071	7838.156643	2116	1	8130.605071	7838.156643	-0.193797147	0.147951565	4624.380847	4365.315195	2116	1	4624.380847	4365.315195	-0.760998267	0.08875907	3836.490489	3692.532293	2116	1	3836.490489	3692.532293	-0.946474283	0.154867139
AAR24312.1	AAR24312.1 reductive dehalogenase homologous protein RdhA9 [Dehalococcoides sp. CBDB1].	922.5	605.5	299	0.755102041	1128.837838	712	968.0635667	691.6699369	386	0.816326531	1112.303533	780.8542653	0.093125581	0.211269528	2536.342795	1027.317381	742	0.897959184	2794.934901	1048.947477	0.521541683	0.388627872	3318.366251	2018.40756	1109	0.959183673	3456.19478	2023.485181	1.253956482	0.499411902	1553.684054	923.1734246	382	0.857142857	1762.443083	1044.251439	0.499264769	0.317908703	1017.773115	365.8309654	100	0.448979592	1962.631936	717.7670218	-0.441709051	0.36973699	9462.464069	1006.720982	570	0.816326531	11525.62242	2636.073583	0.599476328	0.915068951
AAQ94119.1	AAQ94119.1 vinyl chloride reductase precursor [bacterium VS].	1104.096154	978.25	1226	0.961538462	1136.09	998	754.5598762	578.4806452	275	0.75	902.0183122	645.3320209	-0.466938204	0.119728714	365.1665811	75.30818543	18	0.153846154	1889.756559	1138.739187	-2.346097313	0.590501166	344.9540419	59.91916602	14	0.115384615	2401.270152	1353.080759	-2.541929459	0.474568587	399.1679247	154.6949643	16	0.153846154	1731.629672	1065.144855	-1.720838374	0.331590159	459.2796911	206.2393082	23	0.211538462	1438.782261	810.9939245	-1.425226257	0.353497522	424.9263326	150.3781608	14	0.115384615	2428.81781	1741.674154	-1.766216949	0.266038223
AAO60101.1	AAO60101.1 tetrachloroethene reductive dehalogenase precursor [Desulfitobacterium sp. PCE-S].	4070.254545	3841	2340	0.981818182	4144.583333	3939.5	1964.29858	1805.742612	2340	0.981818182	1999.667322	1808.274263	-0.735283274	0.145198525	561.4194458	515.5889226	112	0.618181818	728.8936023	626.9613952	-2.0001834	0.242291735	1014.272825	721.3584549	385	0.818181818	1178.277393	798.6986283	-1.641126164	0.197666511	3545.606866	3216.506395	2340	0.981818182	3610.398182	3307.432744	-0.189394313	0.133811087	4224.386135	3859.769907	2340	0.981818182	4301.604374	3869.711393	0.017607704	0.130997203	2450.699664	2228.934325	1561	0.963636364	2534.382455	2238.032185	-0.530441107	0.182909896
AAF73916.1	AAF73916.1 trichloroethene reductive dehalogenase [Dehalococcoides ethenogenes].	3667.209091	3647	974	0.945454545	3873.086538	3771.5	4441.574277	4452.99346	974	0.945454545	4691.494265	4644.236393	0.219030173	0.148024911	4871.063134	4832.74214	974	0.945454545	5147.941963	4925.520721	0.218185796	0.194488667	3861.863057	4038.246162	974	0.945454545	4079.646977	4222.378145	-0.027351586	0.148573631	2492.333327	2269.319244	818	0.872727273	2824.328407	2437.194496	-0.446492118	0.201328887	2782.024851	2385.752313	939	0.927272727	2987.81415	2579.86563	-0.346167596	0.145459249	2922.541992	2614.581005	886	0.909090909	3194.521873	2906.938409	-0.275588003	0.178035367
2107932531	">2107932531 DHTCA2\_00298570 reductive dehalogenase 10592..12247(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	3299.372727	2651	2340	0.981818182	3355.537037	2751.5	1612.504451	1386.73606	843	0.927272727	1715.369303	1419.632225	-0.681289773	0.225644992	517.9202404	415.3490373	85	0.454545455	821.4664682	793.3545605	-1.963477944	0.276222587	788.3088618	548.9866978	212	0.690909091	1038.451386	805.9175382	-1.608698484	0.234248006	3019.778912	2522.672748	843	0.927272727	3234.801944	2607.131098	-0.154765128	0.271712315	3467.44029	2875.482171	2340	0.981818182	3527.303697	2917.649833	-0.002682437	0.185371061	2007.65092	1659.719688	509	0.890909091	2221.846412	1752.873696	-0.589987528	0.164828013
2107932524	">2107932524 DHTCA2\_00298500 reductive dehalogenase 3868..5523(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	3352.4	3097	688	0.909090909	3664.64	3509.25	1691.001345	1486.605645	643	0.854545455	1936.529315	1744.647974	-0.651825577	0.28566602	1069.596971	410.7607763	75	0.454545455	2086.503777	776.72792	-1.925738175	0.283056477	1658.297017	653.397073	188	0.618181818	2556.55262	928.3316375	-1.581727904	0.194304954	3037.918174	2313.395159	643	0.854545455	3517.168522	3092.545595	-0.203189671	0.233030294	3554.194432	3028.529302	679	0.890909091	3962.715754	3170.830034	-0.017427932	0.162469028	3389.064219	1652.135071	643	0.854545455	3936.46313	1941.012695	-0.608038541	0.192032197
2013897488	>2013897488 DCKB1\_110630 reductive dehalogenase 123920..125434(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	6411.9	6735.75	483	0.86	7436.930233	7527	10176.01534	10107.92708	1093	0.9	11291.05413	11262.69278	0.432541775	0.162652971	9390.435356	9726.314729	719	0.9	10421.93306	10335.4702	0.367098982	0.206195117	8947.355783	8892.366897	1422	0.92	9714.898423	9498.542692	0.322255426	0.20541161	7053.311665	6323.383883	1422	0.92	7656.797721	7087.228723	0.100790225	0.132380206	8088.183132	7185.950124	1093	0.9	8972.246792	8120.298278	0.260662571	0.18273243	6698.225584	6163.546814	1098	0.92	7269.242088	6323.177242	0.081767225	0.256355856
