Gene	Annotation	Mean Probe Intensity PM2L_7-29-09 	Median Probe Intensity PM2L_7-29-09 	Bright Segment Length Dependent Score PM2L_7-29-09 	Bright Probe Fraction PM2L_7-29-09 	Mean Bright Probe Intensity PM2L_7-29-09 	Median Bright Probe Intensity PM2L_7-29-09 	Mean Probe Intensity PM2L_1-X-10 	Median Probe Intensity PM2L_1-X-10 	Bright Segment Length Dependent Score PM2L_1-X-10 	Bright Probe Fraction PM2L_1-X-10 	Mean Bright Probe Intensity PM2L_1-X-10 	Median Bright Probe Intensity PM2L_1-X-10 	 PM2L_1-X-10 / PM2L_7-29-09 Median	 PM2L_1-X-10 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_3-24-10 	Median Probe Intensity PM2L_3-24-10 	Bright Segment Length Dependent Score PM2L_3-24-10 	Bright Probe Fraction PM2L_3-24-10 	Mean Bright Probe Intensity PM2L_3-24-10 	Median Bright Probe Intensity PM2L_3-24-10 	 PM2L_3-24-10 / PM2L_7-29-09 Median	 PM2L_3-24-10 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_1-6-11 	Median Probe Intensity PM2L_1-6-11 	Bright Segment Length Dependent Score PM2L_1-6-11 	Bright Probe Fraction PM2L_1-6-11 	Mean Bright Probe Intensity PM2L_1-6-11 	Median Bright Probe Intensity PM2L_1-6-11 	 PM2L_1-6-11 / PM2L_7-29-09 Median	 PM2L_1-6-11 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_4-19-11 	Median Probe Intensity PM2L_4-19-11 	Bright Segment Length Dependent Score PM2L_4-19-11 	Bright Probe Fraction PM2L_4-19-11 	Mean Bright Probe Intensity PM2L_4-19-11 	Median Bright Probe Intensity PM2L_4-19-11 	 PM2L_4-19-11 / PM2L_7-29-09 Median	 PM2L_4-19-11 / PM2L_7-29-09  Median Absolute Deviation
BAJ06127.1	BAJ06127.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	1656.977273	1665.25	208	0.909090909	1804.625	1885.5	879.4082301	756.6637262	78	0.727272727	1087.665154	960.6650424	-0.698587378	0.120374572	541.8774371	285.1812032	10	0.181818182	1887.040509	1084.946045	-1.775194639	0.406460848	5061.473768	4452.465827	208	0.909090909	5539.907637	5349.549365	0.99030754	0.258733982	2791.128638	2229.345136	208	0.909090909	3057.520293	2533.549804	0.298402133	0.289325951
ACZ62535.1	ACZ62535.1 reductive dehalogenase [Dehalococcoides sp. VS].	6159.278846	5619.5	475	0.903846154	6798.319149	6392	8176.03111	8021.780028	474	0.884615385	9219.383096	8789.982953	0.291829602	0.33279376	8184.908899	6550.457947	420	0.807692308	10089.60527	8156.959029	0.051868842	0.53002917	9799.327979	7587.772927	702	0.884615385	11052.5938	8296.49973	0.267680853	0.686853205	9856.929807	3683.638215	349	0.826923077	11863.97543	5449.775909	-0.198627199	0.952551686
2013897488	>2013897488 DCKB1\_110630 reductive dehalogenase 123920..125434(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	1789.68	1905	810	0.88	2003.011364	2024.25	1095.781745	953.1944965	348	0.76	1346.61799	1042.510865	-0.663537685	0.17158748	1011.141232	772.3445899	193	0.66	1415.754563	1046.900119	-0.81821907	0.490456103	5449.503854	4810.149894	1422	0.92	5911.84537	5190.358341	1.007768488	0.402338713	23864.77512	21644.23951	1422	0.92	25929.97602	22865.37873	2.512628702	0.327714503
BAF34982.1	BAF34982.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	1953.888889	1874.5	495	0.833333333	2292.611111	2057	1064.741063	957.683436	298	0.740740741	1345.36632	1208.438662	-0.647255486	0.14892826	1059.698843	412.176403	108	0.444444444	2122.251032	1094.689041	-1.419043722	0.652991507	8493.76045	6381.591711	906	0.925925926	9163.912392	6906.196495	1.239496311	0.311163514	4840.950874	3357.573656	466	0.814814815	5892.717848	4164.776525	0.568644802	0.465157367
BAE82944.1	BAE82944.1 probable chlorophenol reductive dehalogenase [Desulfitobacterium hafniense Y51].	830.5151515	607.5	90	0.606060606	1112.65	681	4412.097509	3623.266546	1089	1	4412.097509	3623.266546	1.845827405	0.134707364	27044.1299	12945.34601	1089	1	27044.1299	12945.34601	3.079520094	0.17162767	1456.047832	612.2006766	99	0.636363636	2094.070811	725.0592515	-0.024733863	0.239002835	12651.96648	6861.283509	1089	1	12651.96648	6861.283509	2.515943566	0.276006285
ACH47983.1	ACH47983.1 tetrachloroethene reductive dehalogenase [Desulfitobacterium sp. enrichment culture clone C1].	1246.583333	264.5	4	0.166666667	6300.75	6300.75	2209.03047	1525.102394	144	1	2209.03047	1525.102394	1.64461916	0.519256982	11477.6548	3102.778647	144	1	11477.6548	3102.778647	2.37023191	0.281703166	1593.578974	229.2566802	4	0.166666667	8376.653982	8376.653982	-0.071565162	0.209655037	17146.0396	3800.798836	144	1	17146.0396	3800.798836	2.665566487	0.200575301
ACH87596.1	ACH87596.1 putative reductive dehalogenase RdhA2 [Dehalobacter sp. WL].	327.5277778	200.5	8	0.111111111	1206	860.5	1306.091807	1204.455544	637	0.972222222	1328.65986	1264.628551	1.694912737	0.323542045	3569.538588	1981.834956	1296	1	3569.538588	1981.834956	2.324787159	0.276217618	353.5139516	196.8355323	10	0.111111111	1581.297498	943.0579142	-0.114533986	0.204220898	4495.062282	3229.081318	1296	1	4495.062282	3229.081318	2.643159651	0.34226152
BAF57046.1	BAF57046.1 putative PCE dehalogenase [Desulfitobacterium sp. CR1].	337.6636364	191	7	0.090909091	1455.8	589	1452.994284	1257.506898	827	0.927272727	1541.127772	1370.694284	1.767702299	0.324804897	3469.05696	2109.529808	1201	0.963636364	3591.1615	2124.714668	2.302316097	0.324916226	420.4149181	221.0804031	12	0.109090909	2054.298107	703.5965164	-0.043700167	0.210226924	4283.903691	2401.900015	1201	0.963636364	4435.003862	2434.306521	2.54430183	0.352067643
AAO60101.1	AAO60101.1 tetrachloroethene reductive dehalogenase precursor [Desulfitobacterium sp. PCE-S].	267.5363636	193	3	0.054545455	1158.5	565	1371.576882	1308.931135	1544	0.945454545	1436.269718	1341.389022	1.802955459	0.24442175	2735.162768	2006.772868	1561	0.963636364	2831.457139	2061.699523	2.27601394	0.25650514	258.0811264	180.219298	2	0.036363636	1510.10108	1510.10108	-0.069159448	0.218988879	3147.874653	2387.95206	2340	0.981818182	3205.191349	2423.809363	2.407757727	0.344646445
ACH87594.1	"ACH87594.1 putative 1,2-dichloroethane reductive dehalogenase RdhA1 [Dehalobacter sp. WL]."	317.6545455	190	4	0.036363636	3108.25	3108.25	1271.403798	1213.875061	1469	0.927272727	1349.865972	1265.265217	1.813662537	0.213421907	3014.311425	2047.230642	1544	0.945454545	3175.737252	2064.264053	2.271979944	0.252474479	355.674633	169.3489634	5	0.054545455	3209.922481	1829.931085	-0.063452293	0.187887329	3657.160901	2052.468835	1544	0.945454545	3853.091981	2251.037703	2.440833556	0.352072792
